계,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원,비고,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
92,특정계층이용시설,회원이용시설,휘경1동경로당,"서울특별시 동대문구 회기로29길 20-1 (휘경동, )",서울특별시 동대문구 휘경동 183-103,63.54,19,,127.0581937,37.591056,205139.5489,554611.8294
93,특정계층이용시설,회원이용시설,아름경로당,서울특별시 동대문구 휘경로 78,서울특별시 동대문구 휘경동 119-15,245.66,74,,127.068243,37.593623,206026.8757,554897.335
94,공공시설,공공청사,휘경1동주민센터,서울특별시 동대문구 외대역동로6길 3 (휘경동),서울특별시 동대문구 휘경동 373,288,87,,127.0657307,37.5929051,205805.0578,554817.4979
95,공공시설,복지?문화?체육시설,휘경어린이도서관,서울특별시 동대문구 망우로18가길 38  (휘경동),서울특별시 동대문구 휘경동 282-4,346.34,20,,127.0606123,37.5886807,205353.3249,554348.3329
96,특정계층이용시설,회원이용시설,휘경브라운스톤경로당,서울특별시 동대문구 망우로20길 86 (브라운스톤휘경108동),서울특별시 동대문구 휘경동 368,,,,127.066492,37.590474,205872.4836,554547.7204
97,특정계층이용시설,회원이용시설,동일스위트리버아파트경로당,서울특별시 동대문구 한천로 300 (동일스위트리버108동),서울특별시 동대문구 휘경동 366,,,,127.068693,37.58741,206067.1217,554207.7908
98,특정계층이용시설,회원이용시설,휘경주공2단지아파트경로당,서울특별시 동대문구 한천로 248 (주공아파트110동),서울특별시 동대문구 휘경동 57,,,,127.070747,37.582987,206248.9054,553717.0226
99,특정계층이용시설,회원이용시설,휘경베스트빌현대아파트경로당,서울특별시 동대문구 장안벚꽃로5길 19 (휘경베스트빌현대아파트103동),서울특별시 동대문구 휘경동 52,,,,127.074189,37.581665,206553.0446,553570.5302
100,공공시설,공공청사,휘경2동주민센터,서울특별시 동대문구 한천로 329 (휘경동),서울특별시 동대문구 휘경동 367-1,20,7,,127.0685792,37.5901209,206056.851,554508.6628
101,특정계층이용시설,회원이용시설,수복경로당,서울특별시 동대문구 망우로6길 24,서울특별시 동대문구 휘경동 312-22,182,55,,127.055552,37.586663,204906.5277,554124.1147
102,특정계층이용시설,회원이용시설,휘경2동경로당,서울특별시 동대문구 망우로20가길 34-6,서울특별시 동대문구 휘경동 29-7,277.2,84,,127.064863,37.5902,205728.6335,554517.2089
103,특정계층이용시설,회원이용시설,이문삼성래미안2차아파트경로당,서울특별시 동대문구 이문로12길 3-10 (래미안이문2차아파트106동),서울특별시 동대문구 이문동 311,,,,127.060218,37.593527,205318.1551,554886.1954
104,특정계층이용시설,회원이용시설,진성경로당,서울특별시 동대문구 이문로16길 19,서울특별시 동대문구 이문동 325-18,113.5,34,,127.059687,37.594285,205271.2064,554970.295
105,특정계층이용시설,회원이용시설,고황경로당,서울특별시 동대문구 이문로9길 52 (이문동),서울특별시 동대문구 이문동 346-140,118.38,35,,127.0565388,37.5945033,204993.1612,554994.3518
106,공공시설,공공청사,이문1동주민센터,서울특별시 동대문구  외대역동로  114-1  (이문동),서울특별시 동대문구 이문동 120-1,60,10,,127.065476,37.597768,205782.1875,555357.2099
107,특정계층이용시설,회원이용시설,대성유니드아파트경로당,서울특별시 동대문구 한천로58길 139 (이문1차푸르지오 아파트 107동),서울특별시 동대문구 이문동 45,,,,127.069789,37.602567,206162.6728,555890.1201
